epoch	loss	v_loss	|	v_mae	v_mdae	v_sa	v_pr25	|	t_mae	t_mdae	t_sa	t_pr25
90	0.2496	1.2775	|	0.8941	0.7348	24.0465	43.9024	|	1.1628	0.9905	1.2215	32.5581	|  Best result at epoch 70
91	0.6673	2.4059	|	1.3063	1.2960	-10.9743	19.5122	|	0.9526	0.5728	19.0730	39.5349	|  Best result at epoch 70
92	1.0132	1.0695	|	0.7807	0.6287	33.6820	56.0976	|	1.2485	1.1344	-6.0589	13.9535	|  Best result at epoch 70
93	0.4695	1.1888	|	0.8349	0.7732	29.0763	41.4634	|	1.1430	1.0006	2.8982	27.9070	|  Best result at epoch 70
94	0.3002	1.8497	|	1.0276	0.8630	12.7032	43.9024	|	1.5106	1.3129	-28.3246	13.9535	|  Best result at epoch 70
95	0.3969	3.3053	|	1.4668	1.4188	-24.6050	31.7073	|	1.9161	1.9110	-62.7690	16.2791	|  Best result at epoch 70
96	1.0453	1.1699	|	0.8245	0.6924	29.9589	41.4634	|	1.0389	0.8701	11.7483	30.2326	|  Best result at epoch 70
97	0.6057	1.3391	|	0.8841	0.6868	24.8982	39.0244	|	0.9900	0.7138	15.8972	32.5581	|  Best result at epoch 70
98	0.4616	1.1254	|	0.7866	0.6292	33.1801	56.0976	|	1.1293	0.9456	4.0687	27.9070	|  Best result at epoch 70
99	0.3413	1.4051	|	0.8757	0.7564	25.6104	48.7805	|	1.3768	1.2376	-16.9550	11.6279	|  Best result at epoch 70
100	0.4234	1.2113	|	0.7944	0.5898	32.5145	53.6585	|	1.2971	1.0474	-10.1896	16.2791	|  Best result at epoch 70
101	0.2932	1.3948	|	0.8743	0.7084	25.7292	48.7805	|	1.3657	1.1401	-16.0166	13.9535	|  Best result at epoch 70
102	0.4442	1.5109	|	0.9375	0.7099	20.3602	46.3415	|	1.5210	1.3824	-29.2096	16.2791	|  Best result at epoch 70
103	0.4434	1.3604	|	0.8617	0.6146	26.7969	53.6585	|	1.3586	1.1086	-15.4160	13.9535	|  Best result at epoch 70
104	0.6220	1.0422	|	0.7436	0.6178	36.8310	56.0976	|	1.2386	0.9853	-5.2162	13.9535	|  Best result at epoch 104
105	0.3185	1.3051	|	0.8535	0.6602	27.4914	48.7805	|	1.2743	1.0387	-8.2514	30.2326	|  Best result at epoch 104
106	0.3034	1.3468	|	0.9089	0.7357	22.7919	43.9024	|	1.0755	0.8780	8.6384	32.5581	|  Best result at epoch 104
107	0.3722	1.6355	|	0.9774	0.7156	16.9699	48.7805	|	1.6981	1.3966	-44.2538	9.3023	|  Best result at epoch 104
108	0.5210	1.2104	|	0.8110	0.5969	31.1091	51.2195	|	1.3664	1.0687	-16.0744	16.2791	|  Best result at epoch 104
109	0.2881	1.1868	|	0.8169	0.6485	30.6012	48.7805	|	1.2930	0.9693	-9.8397	18.6047	|  Best result at epoch 104
110	0.3548	1.6210	|	0.9555	0.7614	18.8283	43.9024	|	1.4859	1.2324	-26.2299	16.2791	|  Best result at epoch 104
111	0.4016	1.4827	|	0.9122	0.6670	22.5070	46.3415	|	1.3784	1.0556	-17.0953	23.2558	|  Best result at epoch 104
112	0.3445	1.4639	|	0.9095	0.6682	22.7379	43.9024	|	1.3583	1.0385	-15.3891	23.2558	|  Best result at epoch 104
113	0.3009	1.3418	|	0.9037	0.7972	23.2273	39.0244	|	1.2026	0.8548	-2.1632	30.2326	|  Best result at epoch 104
114	0.4319	1.9006	|	1.1143	1.0950	5.3424	31.7073	|	1.0348	0.5828	12.0978	37.2093	|  Best result at epoch 104
115	0.4911	1.3560	|	0.8964	0.8171	23.8524	39.0244	|	1.2341	0.9469	-4.8363	20.9302	|  Best result at epoch 104
116	0.3614	1.3107	|	0.8876	0.8134	24.6020	43.9024	|	1.2519	0.9658	-6.3531	13.9535	|  Best result at epoch 104
117	0.3779	1.2599	|	0.8801	0.7014	25.2325	36.5854	|	1.1127	0.8998	5.4791	18.6047	|  Best result at epoch 104
118	0.3481	1.4867	|	0.9702	0.9147	17.5777	34.1463	|	1.0482	0.8240	10.9543	37.2093	|  Best result at epoch 104
119	0.4690	1.8212	|	1.0320	0.8203	12.3348	48.7805	|	1.5117	1.1961	-28.4190	11.6279	|  Best result at epoch 104
120	0.4593	1.1682	|	0.8435	0.7587	28.3480	43.9024	|	1.1506	0.8703	2.2599	20.9302	|  Best result at epoch 104
121	0.3376	1.3696	|	0.9123	0.8140	22.4975	46.3415	|	1.1594	1.0270	1.5060	34.8837	|  Best result at epoch 104
122	0.3660	1.1939	|	0.8649	0.7537	26.5278	41.4634	|	1.1776	0.8210	-0.0330	13.9535	|  Best result at epoch 104
123	0.2847	1.2420	|	0.8642	0.7815	26.5867	41.4634	|	1.2675	0.9326	-7.6774	18.6047	|  Best result at epoch 104
124	0.3538	1.2420	|	0.8287	0.6895	29.6025	51.2195	|	1.4021	1.1671	-19.1080	16.2791	|  Best result at epoch 104
125	0.4079	1.2306	|	0.8557	0.7953	27.3098	41.4634	|	1.2746	1.0051	-8.2762	18.6047	|  Best result at epoch 104
126	0.3413	1.7803	|	1.0406	0.8365	11.6003	39.0244	|	1.1289	1.0214	4.0997	37.2093	|  Best result at epoch 104
127	0.4391	1.4572	|	0.9395	0.7267	20.1917	43.9024	|	1.1890	0.8788	-1.0025	30.2326	|  Best result at epoch 104
128	0.2988	1.8533	|	1.0639	0.8456	9.6249	41.4634	|	1.2095	0.8771	-2.7436	32.5581	|  Best result at epoch 104
129	0.3008	1.5737	|	0.9779	0.7662	16.9249	39.0244	|	1.0959	1.0404	6.9061	37.2093	|  Best result at epoch 104
130	0.3796	1.4074	|	0.9203	0.8161	21.8172	36.5854	|	1.1827	0.8661	-0.4683	32.5581	|  Best result at epoch 104
131	0.3748	1.5317	|	0.9744	0.9536	17.2249	36.5854	|	1.1390	0.9265	3.2398	32.5581	|  Best result at epoch 104
